phase	phaseDuration.ms	peakForce.mN	minimumForce.mN	forceChange.mN	meanForce.mN	sdForce.mN	meanForceRate.mNps	peakForceRate.mNps	peakPosition.mm	positionChange.mm	meanPosition.mm	sdPosition.mm	meanVelocity.mmps	peakVelocity.mmps	heldForce.mN	heldPosition.mm	condition	targetForce.mN	targetRampTime.ms	positionLimit.mm	sourceFile	PID	UpperThreshold	LowerThreshold	outliers
hold	227	610.4902066065245	278.6188080915788	331.87139851494567	582.483772614076	69.10274797029004	1436.134894519854	14703.675953631318	5.233565060374717	1.7591617227161072	4.990250199573177	4.990250199573177	7.794506090800263	63.34345166250888	577.8092093022277	4.52239945595601	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_110_2.ddf	P02	660	540	exclude
hold	230	610.9968589671655	257.26806964009364	353.72878932707187	578.9416410311202	78.77281821392636	1467.5754144657326	16843.185637004128	4.385191906040217	1.5215796711238965	4.1467091663580025	4.1467091663580025	6.648915823945406	53.786865269361606	574.405289989207	3.8527925585802674	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_140_2.ddf	P02	660	540	exclude
hold	194	610.9451504913386	604.5697415868576	6.375408904480992	605.0386187228625	0.7877950272217217	-28.71520226792777	-1275.8687204486705	5.061189062396066	0.35638518355650994	4.955287690789301	4.955287690789301	1.8652244702138392	13.28664313605188	600.3980914764521	4.5815440992329615	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_160_2.ddf	P02	660	540	include
hold	229	610.709103355475	272.99130957035453	337.7177937851205	580.1263933293144	75.03204086644604	1378.2594369703904	16517.931521101786	4.778023534883486	1.4279661935538166	4.563163326245472	4.563163326245472	6.256880901766591	53.62101475217074	575.51560155988	4.256685879815018	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_170_2.ddf	P02	660	540	exclude
hold	227	611.1026339211132	291.7850022787226	319.31763164239067	582.5117572297809	68.75084231779647	1372.7286519375057	14578.379673088648	5.235983753038845	1.7094130895209996	4.960905966731319	4.960905966731319	7.568980942867305	57.7316375097876	577.9930955432159	4.844631013243169	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_190_2.ddf	P02	660	540	exclude
hold	228.5	611.0336627396823	283.63877015931985	327.39489258036247	581.6926505193545	72.3582825537098	1119.1227328902646	19255.31351474649	2.1392212518543285	1.5437590154044565	1.879936247648648	1.879936247648648	6.202316412130507	64.9847613887391	579.4477784063421	6.0174678642871635	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_20_2.ddf	P02	660	540	exclude
hold	229	611.650909627536	278.8989450352836	332.75196459225236	580.6279505004583	73.46945965161606	1392.0592498390397	15278.1812888403	5.0799198954941325	1.7470729283576314	4.788717034978752	4.788717034978752	7.668818484859877	58.39239060625889	576.0766963971708	4.559817927187163	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_210_2.ddf	P02	660	540	exclude
hold	229.5	610.8114457225372	260.61284669982587	350.19859902271133	579.6555329223005	77.24024270160906	1457.4253158393944	16693.399249328082	4.3589991480658306	1.4845130171082317	4.128081482114837	4.128081482114837	6.494223218974647	52.452324568920794	575.1368792471618	3.9244572592154743	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_240_2.ddf	P02	660	540	exclude
hold	229.5	610.742809287814	263.1520895379171	347.5907197498969	579.5314565014569	76.98359734283	1442.3283361294343	16623.102155016113	4.535090008910649	1.4622422600723075	4.315405159459329	4.315405159459329	6.404461923810355	51.691454671118464	574.8905562308264	3.9248301487564214	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_260_2.ddf	P02	660	540	exclude
hold	230	610.240401889402	251.88232502064463	358.3580768687574	578.9517594316402	79.07686843660224	1490.4551610655435	17249.120326476714	4.168769564947831	1.4167415063086397	3.9541390523491193	3.9541390523491193	6.1778112401646705	51.62183322308067	574.4120233666074	3.651068516760043	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_280_2.ddf	P02	660	540	exclude
hold	230	610.1943391299187	254.26092614927487	355.9334129806439	579.0172073112594	78.82440403190948	1452.3511426785876	17724.523674307988	4.144276894532777	1.281703185768306	3.959292271321623	3.959292271321623	5.58352783580574	49.49163934592615	574.4667715746255	3.6921832755482447	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_290_2.ddf	P02	660	540	exclude
hold	228.5	611.770575974354	251.4560196852199	360.3145562891341	581.2533798260621	74.99575763103981	1553.6916701505825	15305.4138246074	2.8838985716488352	1.611170550697362	2.6576505305794433	2.6576505305794433	7.068881440189125	55.494579243966946	577.1603928310133	3.5234373266903285	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_300_2.ddf	P02	660	540	exclude
hold	228	611.6526476949887	278.41288904376205	333.2397586512266	581.2748195928399	72.0943121096868	1428.637273111094	14666.56984706617	5.088003771003132	1.8246239230042691	4.78479058158067	4.78479058158067	8.047515223580419	57.805320092101375	576.719320720103	4.569943384690865	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_310_2.ddf	P02	660	540	exclude
hold	228.5	610.8390644565205	272.54781334082276	338.2912511156978	580.8861304076437	73.7999070288517	1426.218574317017	16006.049239420008	4.69958901655563	1.5548820323540928	4.467853041170191	4.467853041170191	6.839247523968916	54.063938998337946	576.2844713520522	4.243207987102927	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_330_2.ddf	P02	660	540	exclude
hold	229.5	611.7266552974338	247.898463357398	363.8281919400358	579.6801536798189	78.24043473545309	1558.4302748645162	15757.445500162135	2.7158238337814726	1.6005826092944533	2.4923611065579623	2.4923611065579623	6.98617141022858	56.401769018050715	575.6667942839549	3.4588421300309893	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_350_2.ddf	P02	660	540	exclude
hold	230	610.7692295959282	257.7437190027966	353.0255105931316	578.9598063569802	78.6154150267752	1435.48853574893	17592.277067011535	4.309194529537134	1.4198251938787745	4.094816306478555	4.094816306478555	6.205179574891867	53.13383893019363	574.3944069278476	3.8976502808589086	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_360_2.ddf	P02	660	540	exclude
hold	229.5	610.7697598907592	264.5525350065271	346.21722488423217	579.6104318747797	76.82525064027104	1418.0488646675233	17152.537681815375	4.48922275999778	1.4034853201357884	4.2815754530720405	4.2815754530720405	6.152932951932008	51.330275465758746	575.1031744504941	4.051865088407908	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_380_2.ddf	P02	660	540	exclude
